ID,TEMP,HUM_AIRE,HUM_SUELO_1,HUM_SUELO_2,LUZ,GAS,RIEGO_1,RIEGO_2
1,28,51,37,48,425,140,1,0
2,32,65,55,52,341,171,0,0
3,24,68,48,36,659,107,0,1
4,34,78,45,47,450,130,0,0
5,29,60,56,38,355,104,0,1
6,33,78,51,53,385,151,0,0
7,31,63,51,31,467,110,0,1
8,32,66,53,43,366,170,0,0
9,28,57,55,49,416,145,0,0
10,28,53,32,38,591,140,1,1
11,30,58,32,54,693,139,1,0
12,30,62,59,59,500,158,0,0
13,25,72,33,46,575,168,1,0
14,29,68,36,41,284,97,1,0
15,29,55,35,39,395,143,1,1
16,24,50,56,51,554,105,0,0
17,29,55,42,56,508,96,0,0
18,24,64,40,54,400,158,0,0
19,34,67,48,57,663,93,0,0
20,27,69,49,57,464,149,0,0
21,33,78,34,47,385,115,1,0
22,25,51,32,34,467,148,1,1
23,31,65,51,45,251,150,0,0
24,29,56,33,45,279,105,1,0
25,31,70,54,52,401,152,0,0
26,26,56,60,38,275,170,0,1
27,24,73,43,32,445,151,0,1
28,29,61,30,45,514,177,1,0
29,25,76,44,58,417,113,0,0
30,25,80,57,37,390,103,0,1
$
